Disease,Hindi Name,Marathi Name,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Herbal/Alternative Remedies,Ayurvedic Herbs,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Patient Recommendations,Scientific Research
Prader-Willi Syndrome,प्राडर-विली सिंड्रोम,प्राडर-विली सिंड्रोम,"Insatiable hunger, obesity, developmental delay","Genetic Testing, Physical Exam",Severe,Lifelong,"Genetic, Developmental delays",Symptom-specific therapy,"Genetic Mutations, Family History",Genetic,Irregular sleep,High stress,Low,Family history of genetic disorders,"Balanced, High-protein diet",None,All seasons,Childhood,Both genders,Requires special care,Avoids overstimulation,None specific,None specific,"Brahmi (2g), Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Focus on managing appetite; support development with balanced nutrition.,None specific,"Supportive Care, Medications","Genetic Counseling, Early Diagnosis",Can Be Managed with Supportive Care,"Obesity, Developmental Delay","Early Diagnosis, Regular Monitoring",Research on Prader-Willi Syndrome
Primary Amebic Meningoencephalitis,प्राइमरी एमेबिक मेनिन्जोएंसेफ्लाइटिस,प्राइमरी एमेबिक मेनिन्जोएंसेफ्लाइटिस,"Headache, fever, nausea, vomiting, stiff neck","CSF Analysis, Brain Imaging",Severe,1-2 weeks,"Amoebic infection, Freshwater exposure",Antifungal treatments,Exposure to Contaminated Water,Freshwater exposure,Irregular sleep,High stress,Low,No family history,"Hydrating, Low-fat diet",None,"Summer, Rainy season","Childhood, Adult",Both genders,Avoids contaminated water,Avoids swimming in warm water,None specific,None specific,"Turmeric (1/2 tsp), Ginger (2g), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid exposure to contaminated water; maintain good hygiene.,None specific,"Antifungal Medications, Supportive Care",Avoid Contaminated Water,Can Be Managed with Medication,"Brain Damage, Death","Early Diagnosis, Good Hygiene",Research on Amebic Meningoencephalitis
Primary Ciliary Dyskinesia,प्राइमरी सिलीरी डिस्काइनीसिया,प्राथमिक सिलियरी डिस्काइनीसिया,"Chronic respiratory infections, sinusitis, cough","Genetic Testing, Physical Exam",Severe,Lifelong,"Genetic, Respiratory issues",Symptom-specific therapy,"Genetic Mutations, Family History",Genetic,Irregular sleep,High stress,Low,Family history of respiratory issues,"High-protein, Antioxidant diet",None,"Winter, Cold season","Childhood, Adult",Both genders,Avoids cold air,Avoids respiratory irritants,None specific,None specific,"Ginger (2g), Tulsi leaves (2g), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Support lung health; avoid cold air and focus on respiratory health with herbal teas.,Breathing Exercises,"Medications, Respiratory Therapy","Genetic Counseling, Early Diagnosis",Can Be Managed with Treatment,"Respiratory Issues, Sinus Infections","Regular Monitoring, Respiratory Care",Research on Ciliary Dyskinesia Treatment
Prostate Cancer,प्रोस्टेट कैंसर,प्रोस्टेट कॅन्सर,"Urinary problems, pelvic pain, difficulty urinating","PSA Test, Biopsy, Ultrasound",Severe,Lifelong,"Cancer, Older age","Chemotherapy, Hormone therapy","Age, Family History, Smoking","Age, Hormonal imbalance",Irregular sleep,High stress,Low,Family history of cancer,"Low-fat, High-fiber diet",None,All seasons,"Elderly, Adult",Male,Requires regular monitoring,Avoids alcohol,None specific,None specific,"Ashwagandha (5g), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Include prostate-healthy foods like tomatoes and flaxseeds; reduce stress.,None specific,"Surgery, Radiation, Chemotherapy","Regular Check-ups, Healthy Lifestyle",Depends on Stage of Cancer,"Metastasis, Urinary Problems","Early Detection, Healthy Lifestyle",Research on Prostate Cancer Treatment
Psoriasis,सोरायसिस,सोरायसिस,"Red, inflamed skin, scales, itching","Physical Exam, Skin Biopsy",Severe,Lifelong,"Genetic, Autoimmune disorder","Topical treatments, Systemic meds","Genetics, Infections, Stress","Genetic, Environmental factors",Irregular sleep,Moderate stress,Low,Family history of psoriasis,"Low-carb, Anti-inflammatory diet",None,"Winter, Cold season",Adult,Both genders,Exposure to stress triggers,Avoids harsh weather,"Herbal Remedies, Diet Changes","Neem, Turmeric, Aloe Vera","Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Focus on anti-inflammatory foods; maintain a skin-care routine with natural products.,Yoga for Stress Relief,"Topical Treatments, Systemic Medications","Stress Management, Healthy Diet",Can Be Managed with Treatment,"Skin Lesions, Joint Pain","Regular Monitoring, Stress Management",Research on Psoriasis Treatments
Pulmonary Hypertension,पल्मोनरी हायपरटेंशन,पल्मोनरी हायपरटेंशन,"Shortness of breath, dizziness, chest pain","Echocardiogram, Blood Tests, CT Scan",Severe,Lifelong,"Respiratory issues, Cardiac issues","Blood pressure meds, Oxygen therapy","Genetics, Heart Disease, Lung Disease","Genetic, Heart conditions",Irregular sleep,High stress,Low,Family history of heart disease,"Low-salt, High-fiber diet",None,All seasons,"Adult, Elderly",Both genders,Requires oxygen support,Avoids high altitudes,None specific,None specific,"Turmeric (1/2 tsp), Ginger (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Focus on lung and heart health; avoid salty foods and manage stress levels.,Breathing Exercises,"Medications, Oxygen Therapy","Regular Monitoring, Healthy Lifestyle",Can Be Managed with Medication,"Heart Failure, Organ Damage","Regular Monitoring, Healthy Diet",Research on Pulmonary Hypertension
Q Fever,क्यू बुखार,क्यू बुखार,"High fever, chills, headache, muscle pain","Blood Tests, Serology Tests",Moderate to Severe,1-2 months,"Bacterial infection, Animal exposure",Antibiotics,Contact with Infected Animals,"Animal exposure, Rural areas",Irregular sleep,Moderate stress,Low,No family history,"Hydrating, High-protein diet",None,All seasons,Adult,Both genders,Exposure to animals,Avoids exposure to livestock,None specific,None specific,"Neem leaves (5-6), Warm water (200ml)",Pitta,Pitta-Prakriti,"Rest in a cool, comfortable environment; drink plenty of fluids to stay hydrated.",None specific,Antibiotics,"Avoid Animal Contact, Good Hygiene",Can Be Managed with Medication,"Endocarditis, Respiratory Issues","Avoid Animal Contact, Good Hygiene",Research on Q Fever Treatment
Rabies,रेबीज,रेबीज,"Fever, agitation, hallucinations, hydrophobia","Physical Exam, Animal Bite History",Severe,1-2 weeks,"Animal bite, Viral infection",Antirabies vaccine,"Animal Bites, Poor Animal Control","Animal exposure, Rural areas",Irregular sleep,High stress,Low,Family history of rabies,"Low-fat, High-protein diet",None,All seasons,All ages,Both genders,Exposure to animals,Avoids wild animal contact,None specific,None specific,"Garlic (2 cloves), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Seek medical attention immediately; support immune health with garlic and turmeric.,None specific,"Rabies Vaccine, Antibodies","Vaccination, Avoid Animal Bites",Can Be Prevented with Vaccination,"Death, Neurological Damage","Early Treatment, Avoid Animal Bites",Research on Rabies Vaccination
Relapsing Fever,पुनरावृत्ति बुखार,पुनरावृत्ति बुखार,"Recurrent fevers, headaches, muscle aches","Blood Tests, Blood Smear",Severe,1-2 weeks,"Bacterial infection, Tick bites",Antibiotics,"Ticks, Infected Animals","Tick exposure, Poor hygiene",Irregular sleep,High stress,Low,No family history,"Hydrating, Low-sugar diet",None,All seasons,"Adult, Children",Both genders,Avoids outdoor exposure,Avoids unsanitary areas,None specific,None specific,"Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Focus on hydration and rest; avoid contact with infected individuals.,None specific,Antibiotics,"Avoid Tick Bites, Good Hygiene",Can Be Managed with Medication,"Recurrence, Organ Damage","Regular Monitoring, Avoid Tick Bites",Research on Relapsing Fever Treatment
Renal Hypertension,किडनी हायपरटेंशन,किडनी हायपरटेंशन,"High blood pressure, headache, nausea, fatigue","Blood Tests, Ultrasound, CT Scan",Moderate to Severe,Lifelong,"Kidney disease, Hypertension",Blood pressure medication,"Obesity, Kidney Disease, Genetics","Kidney dysfunction, Age",Irregular sleep,High stress,Low,Family history of hypertension,"Low-sodium, High-fiber diet",None,All seasons,"Adult, Elderly",Both genders,Requires monitoring,Avoids excessive salt,None specific,None specific,"Ashwagandha (5g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta",Vata-Kapha,Maintain kidney health; avoid salty and high-fat foods; hydrate well.,None specific,"Medications, Lifestyle Changes","Healthy Diet, Regular Exercise",Can Be Managed with Medication,"Kidney Damage, Heart Disease","Regular Monitoring, Healthy Diet",Research on Renal Hypertension
Respiratory Issues,श्वसन समस्याएँ,श्वसन समस्या,"Shortness of breath, cough, wheezing","Physical Exam, Pulmonary Function Test",Moderate to Severe,1-6 months,"Asthma, Chronic bronchitis","Inhalers, Steroids","Smoking, Pollution, Infections","Air pollution, Allergens",Irregular sleep,High stress,Low,Family history of asthma,"Low-carb, High-protein diet","Dust, Pollen",All seasons,All ages,Both genders,Avoids polluted air,Avoids tobacco smoke,"Herbal Remedies, Lifestyle Changes",None specific,"Ginger (2g), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Focus on lung health; practice deep breathing exercises and avoid pollutants.,Breathing Exercises,"Medications, Respiratory Therapy","Quit Smoking, Avoid Pollutants",Can Be Managed with Treatment,"Respiratory Failure, Infections","Avoid Smoking, Regular Exercise",Research on Respiratory Issues
Rett Syndrome,रेट सिंड्रोम,रेट सिंड्रोम,"Loss of motor skills, seizures, abnormal hand movements","Genetic Testing, Physical Exam",Severe,Lifelong,"Genetic, Developmental delays",Symptom-specific therapy,"Genetic Mutations, Family History",Genetic,Irregular sleep,High stress,Low,Family history of Rett syndrome,"Balanced, High-nutrient diet",None,All seasons,Childhood,Female,Requires special care,Avoids overstimulation,None specific,None specific,"Brahmi (2g), Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Support cognitive and motor development; ensure a balanced diet.,None specific,"Supportive Care, Medications","Genetic Counseling, Early Diagnosis",Can Be Managed with Supportive Care,"Developmental Delays, Seizures","Early Diagnosis, Regular Monitoring",Research on Rett Syndrome
Rheumatic Heart Disease,रुमेटिक हार्ट डिजीज,रुमेटिक हार्ट रोग,"Chest pain, heart palpitations, difficulty breathing","Blood Tests, Echocardiogram",Severe,Lifelong,"Strep throat, Heart complications","Antibiotics, Surgery","Strep Throat, Poor Treatment of Infections",Previous strep throat infection,Irregular sleep,High stress,Low,Family history of heart disease,"Low-fat, High-fiber diet",None,All seasons,"Childhood, Adult",Both genders,Regular medical check-ups,Avoids strenuous activities,None specific,None specific,"Garlic (2 cloves), Ginger (2g), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Focus on heart health; avoid salty and fatty foods; manage stress.,None specific,"Surgery, Medications","Treat Infections Promptly, Good Hygiene",Can Be Managed with Treatment,"Heart Valve Damage, Heart Failure",Early Treatment of Infections,Research on Rheumatic Heart Disease
Rheumatoid Arthritis,रुमेटॉयड आर्थ्राइटिस,रुमेटॉयड आर्थ्राइटिस,"Joint pain, stiffness, swelling, fatigue","Blood Tests, Physical Exam, X-ray",Severe,Lifelong,"Autoimmune disorder, Joint pain",Anti-inflammatory drugs,"Genetics, Infections, Age","Genetic, Environmental factors",Irregular sleep,High stress,Low,Family history of arthritis,"Anti-inflammatory, Gluten-free diet",None,All seasons,"Adult, Elderly",Both genders,Requires physiotherapy,Avoids joint strain,"Herbal Remedies, Diet Changes","Ashwagandha, Guggul","Turmeric (1/2 tsp), Ginger (2g), Milk (200ml)","Vata, Kapha",Vata-Kapha,Consume anti-inflammatory foods; practice light exercises and stretches.,Yoga for Joint Health,"Pain Relievers, Disease-Modifying Drugs","Healthy Diet, Regular Exercise",Can Be Managed with Medication,"Joint Deformities, Mobility Issues","Regular Monitoring, Joint Protection",Research on Rheumatoid Arthritis
Rickettsial Diseases,रिकेट्सियल रोग,रिकेट्सियल रोग,"Fever, rash, headache, muscle aches","Blood Tests, PCR Test",Severe,1-2 weeks,"Bacterial infection, Tick bites",Antibiotics,"Insect Bites, Poor Sanitation","Tick exposure, Poor hygiene",Irregular sleep,High stress,Low,No family history,"Hydrating, Low-sugar diet",None,All seasons,"Adult, Children",Both genders,Avoids outdoor exposure,Avoids unsanitary areas,None specific,None specific,"Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Focus on immune health; avoid exposure to ticks; stay hydrated.,None specific,Antibiotics,"Avoid Insect Bites, Good Hygiene",Can Be Managed with Medication,"Organ Damage, Fever","Avoid Insect Bites, Good Hygiene",Research on Rickettsial Diseases
Rift Valley Fever,रिफ्ट वैली बुखार,रिफ्ट वैली बुखार,"Fever, headache, muscle pain, joint pain","Blood Tests, Serology Tests",Severe,1-2 months,"Mosquito bites, Viral infection",Symptom-specific therapy,Contact with Infected Animals,"Mosquito exposure, Rural areas",Irregular sleep,Moderate stress,Low,No family history,"Low-fat, High-protein diet",None,Rainy season,"Adult, Children",Both genders,Avoids mosquito exposure,Uses mosquito nets,None specific,None specific,"Ashwagandha (5g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta",Vata-Kapha,"Rest in a cool, quiet environment; avoid stress and maintain hydration.",None specific,Antiviral Medications,"Avoid Animal Contact, Good Hygiene",Can Be Managed with Medication,"Liver Damage, Neurological Issues","Avoid Animal Contact, Good Hygiene",Research on Rift Valley Fever
Rocky Mountain Spotted Fever,रॉकी माउंटेन स्पॉटेड फीवर,रॉकी माउंटेन स्पॉटेड फीवर,"Fever, rash, headache, muscle pain","Blood Tests, PCR Test",Severe,1-2 weeks,"Tick bites, Bacterial infection",Antibiotics,"Insect Bites, Poor Sanitation","Tick exposure, Poor hygiene",Irregular sleep,High stress,Low,No family history,"Hydrating, Low-sugar diet",None,"Summer, Rainy season","Adult, Children",Both genders,Avoids tick-infested areas,Avoids outdoor exposure,None specific,None specific,"Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Avoid exposure to ticks; use natural repellents; hydrate well.,None specific,Antibiotics,"Avoid Insect Bites, Good Hygiene",Can Be Managed with Medication,"Organ Damage, Fever","Avoid Insect Bites, Good Hygiene",Research on Rocky Mountain Fever
Rosacea,रोजेसिया,रोजेसिया,"Redness, visible blood vessels, pimples on the face","Physical Exam, Skin Biopsy",Moderate to Severe,Lifelong,"Skin condition, Flushing","Topical creams, Oral antibiotics","Genetics, Sun Exposure, Stress","Hot, cold weather, Sun exposure",Irregular sleep,High stress,Low,No family history,"Low-fat, High-protein diet",None,"Winter, Summer",Adult,Both genders,Avoids hot drinks,Avoids spicy foods,"Herbal Remedies, Diet Changes","Aloe Vera, Turmeric","Aloe Vera (2 tsp), Turmeric (1/2 tsp)",Pitta,Pitta-Prakriti,Maintain a gentle skincare routine; avoid spicy and hot foods.,None specific,"Topical Treatments, Laser Therapy","Sun Protection, Stress Management",Can Be Managed with Treatment,"Skin Redness, Eye Irritation","Sun Protection, Regular Monitoring",Research on Rosacea Treatments
Schistosomiasis,शिस्टोसोमियासिस,शिस्टोसोमियासिस,"Abdominal pain, diarrhea, blood in urine, fatigue","Stool or urine analysis, Blood tests",Severe,1-2 months,"Parasitic infection, Waterborne",Antiparasitic drugs,"Contaminated water, poor sanitation","Freshwater sources, Poor sanitation",Irregular sleep,High stress,Low,No family history,"Hydrating, Low-sugar diet",None,Rainy season,"Adult, Children",Both genders,Avoids contaminated water,Avoids public bathing,"Wormwood, Ginger","Neem, Turmeric","Neem leaves (5-6), Turmeric (1/2 tsp), Warm water (200ml)",Pitta,Pitta-Prakriti,Focus on detoxification; avoid contaminated water sources.,None,Antiparasitic drugs (Praziquantel),Avoid contaminated water,Treatable with early intervention,"Organ damage, Hepatitis, Bladder cancer","Use safe water sources, take meds as prescribed",Studies on antiparasitic treatments
Scoliosis,स्कोलियोसिस,स्कोलियोसिस,"Uneven shoulders, back pain, difficulty standing straight","X-ray, MRI",Moderate to Severe,Variable,"Spinal deformity, Genetic","Physical therapy, Surgery","Genetics, Muscle imbalance, Injury","Poor posture, Trauma",Irregular sleep,Moderate stress,Low,Family history of scoliosis,"Balanced, High-nutrient diet",None,All seasons,"Children, Adult",Both genders,Requires back support,Avoids heavy lifting,None,"Ashwagandha, Guggul","Ashwagandha (5g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta",Vata-Kapha,Maintain good posture; include strengthening exercises and a balanced diet.,Yoga for spine flexibility,"Physical therapy, Surgery",Early diagnosis and intervention,Variable depending on severity,"Respiratory issues, Nerve damage","Maintain posture, exercise regularly",Research on non-invasive treatments
Seborrheic Dermatitis,सेबोरहाइक डर्मेटाइटिस,सेबोरहाइक डर्मेटाइटिस,"Red, itchy skin, dandruff, flakiness","Physical exam, Skin biopsy",Moderate to Severe,Ongoing management,"Skin condition, Yeast infection","Topical antifungals, Steroids","Stress, Genetics, Oily skin","Hot, humid weather, Oily skin",Irregular sleep,High stress,Low,No family history,"Low-fat, High-protein diet",None,"Winter, Spring","Adult, Children",Both genders,Avoids greasy foods,Uses mild skincare,"Tea tree oil, Aloe vera","Neem, Turmeric","Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Follow a gentle skincare routine; avoid spicy and oily foods.,"Pranayama, Scalp massage","Topical antifungals, Steroids","Avoid triggers like stress, harsh soaps","Chronic, flare-ups likely","Infection, Hair loss","Use medicated shampoos, reduce stress",Ongoing research on skin treatments
Septicemic Plague,सेप्टीमिक प्लेग,सेप्टीमिक प्लेग,"Fever, chills, swollen lymph nodes, septic shock","Blood cultures, PCR test",Severe,Immediate treatment (weeks),"Bacterial infection, Flea bites","Antibiotics, IV fluids","Contact with infected animals, flea bites","Rodent exposure, Poor sanitation",Irregular sleep,High stress,Low,No family history,"Hydrating, Low-sugar diet",None,"Summer, Rainy season","Adult, Children",Both genders,Avoids rodent exposure,Avoids unsanitary areas,None,None,"Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Avoid contact with infected individuals; focus on immune-boosting foods.,None,"Antibiotics (Streptomycin, Doxycycline)",Immediate medical attention,"Fatal if untreated, but treatable with antibiotics","Organ failure, Septic shock",Seek medical help immediately,Ongoing studies on vaccine development
Sexual Dysfunction,यौन कार्य में दोष,यौन कार्यातील दोष,"Low libido, erectile dysfunction, premature ejaculation","Blood tests, Hormone tests, Psychological assessment",Moderate to Severe,Ongoing management,"Stress, Hormonal imbalance","Hormone therapy, Psychotherapy","Age, Stress, Obesity, Diabetes","Psychological stress, Relationship issues",Irregular sleep,High stress,Low,No family history,"Low-fat, High-protein diet",None,All seasons,Adult,Both genders,Requires counseling,Avoids stressors,"Maca root, Ginseng","Ashwagandha, Shatavari","Ashwagandha (5g), Shatavari (5g), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Focus on stress reduction; maintain a healthy diet rich in antioxidants.,None,"Viagra, Therapy, Hormone replacement","Healthy lifestyle, stress management",Manageable with treatment,"Depression, Relationship issues","Improve diet, exercise, therapy",Research on hormonal and psychological treatments
Sickle Cell Anemia,सिकल सेल एनीमिया,सिकल सेल अनीमिया,"Fatigue, pain, swelling in hands/feet, frequent infections","Blood test, Hemoglobin electrophoresis",Severe,Lifetime management,"Genetic, Blood disorder","Pain management, Blood transfusions",Genetics (Inheritance of sickle gene),"Genetic, Low oxygen environments",Irregular sleep,High stress,Low,Family history of anemia,"High-calorie, Iron-rich diet",None,All seasons,"Children, Adult",Both genders,Requires hydration,Avoids dehydration,None,"Ashwagandha, Gudmar","Fenugreek (3g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta",Vata-Kapha,Maintain hydration; include iron-rich foods like spinach and lentils.,None,"Blood transfusion, Pain management","Early diagnosis, Pain management","Chronic, Manageable with treatment","Stroke, Organ damage, Infection","Regular medical check-ups, hydration",Studies on gene therapy and blood management
Sjogren's Syndrome,स्जोग्रेन सिंड्रोम,स्जोग्रेन सिंड्रोम,"Dry mouth, dry eyes, joint pain, fatigue","Blood tests (ANA, SSA), Lip biopsy",Moderate to Severe,Ongoing management,"Autoimmune disorder, Dry eyes","Antioxidants, Moisturizers","Genetics, Autoimmune disorders","Autoimmune, Dry environments",Irregular sleep,High stress,Low,Family history of autoimmune diseases,"Hydrating, Low-sodium diet",None,"Winter, Spring","Adult, Elderly",Both genders,Requires special care,Avoids smoking,None,"Ashwagandha, Guggul","Ashwagandha (5g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta",Vata-Kapha,Stay hydrated; avoid dry and cold environments; include anti-inflammatory foods.,None,"Immunosuppressants, Eye drops","Stay hydrated, Avoid smoking","Chronic, can worsen with time","Dry mouth, Eye issues, Fatigue","Use artificial tears, rest, hydration",Research on immunosuppressive therapies
Skin Cancer (Melanoma),त्वचा का कैंसर (मेलनोमा),त्वचा कर्करोग (मेलनोमा),"Skin changes, irregular moles, itching, bleeding","Skin biopsy, Dermoscopy",Severe,"Surgical removal, Radiation","Sun exposure, Family history","Surgery, Chemotherapy","Sun exposure, Fair skin, Genetics","Sun exposure, Fair skin",Irregular sleep,High stress,Low,Family history of melanoma,"Low-fat, High-protein diet",None,"Summer, Spring",Adult,Both genders,Avoids excessive sun,Uses sunscreen,"Aloe vera, Turmeric","Neem, Turmeric","Aloe Vera (2 tsp), Turmeric (1/2 tsp)",Pitta,Pitta-Prakriti,Protect skin from sun exposure; focus on antioxidant-rich foods like berries.,None,"Surgery, Chemotherapy, Radiation","Avoid sun exposure, Use sunscreen",Treatable if caught early,"Metastasis, Organ failure","Regular skin checks, Avoid sun",Ongoing studies on immunotherapy
Skin Diseases,त्वचा रोग,त्वचा रोग,"Redness, irritation, itching, lesions","Clinical exam, Biopsy",Moderate to Severe,Varies based on type,"Infections, Allergies","Topical treatments, Oral antibiotics","Poor hygiene, Allergies, Genetics","Environmental factors, Poor hygiene",Irregular sleep,High stress,Low,No family history,"Balanced, High-nutrient diet","Dust, Pollen",All seasons,All ages,Both genders,Requires hygiene practices,Avoids harsh chemicals,"Aloe vera, Tea tree oil","Neem, Turmeric","Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Follow a gentle skincare routine; avoid harsh chemicals and spicy foods.,"Pranayama, Hydration","Topical treatments, Steroids","Regular cleaning, Avoid triggers",Varies depending on the disease,"Secondary infections, Scarring","Practice good skin care, Use mild soaps",Research on topical treatments
"Skin Infections (Bacterial, Fungal, Viral)","त्वचा संक्रमण (बैक्टीरियल, फंगल, वायरल)","त्वचा संसर्ग (बॅक्टेरिअल, फंगल, व्हायरल)","Redness, swelling, itching, discharge","Swabs, Blood tests, Skin biopsy",Moderate to Severe,1-2 weeks (depends on type),"Infections, Poor hygiene","Antibiotics, Antifungals","Poor hygiene, Weakened immune system","Poor hygiene, Exposure to pathogens",Irregular sleep,High stress,Low,Family history of skin conditions,"Balanced, High-nutrient diet","Dust, Pollens",All seasons,All ages,Both genders,Requires hygiene practices,Avoids harsh chemicals,"Garlic, Tea tree oil","Neem, Turmeric","Tea Tree Oil (3-4 drops), Turmeric (1/2 tsp), Water (as needed)",Pitta,Pitta-Prakriti,Focus on hygiene; avoid sharing personal items; maintain a healthy diet.,None,"Antibiotics, Antifungals, Antivirals","Proper hygiene, Avoid contact with infected persons",Usually treatable with treatment,"Abscess formation, Scarring","Maintain hygiene, Avoid scratching",Studies on antimicrobial treatments
Skin Rash,त्वचा की चकत्तियां,त्वचेवरील पुरळ,"Red, inflamed, itchy patches on the skin","Physical exam, Allergy tests",Moderate to Severe,"Varies, from days to weeks","Allergies, Infections","Topical corticosteroids, Antihistamines","Allergies, Irritants, Infections","Allergens, Irritants, Heat",Irregular sleep,High stress,Low,Family history of rashes,"Low-fat, High-protein diet","Dust, Pollen",All seasons,All ages,Both genders,Requires skin care,Avoids harsh chemicals,"Aloe vera, Chamomile","Aloe vera, Ashwagandha","Aloe Vera (2 tsp), Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Avoid allergens; keep skin moisturized; include fiber-rich foods in the diet.,"Pranayama, Hydration","Steroid creams, Antihistamines","Avoid allergens, Hydrate",Usually resolves with treatment,"Secondary infection, Scarring","Use appropriate creams, Avoid irritants",Studies on allergic skin conditions
Sleep Apnea,स्लीप एप्निया,स्लीप एप्निया,"Loud snoring, choking during sleep, daytime fatigue",Sleep study (Polysomnography),Moderate to Severe,Ongoing management,"Obesity, Respiratory issues","CPAP machine, Surgery","Obesity, Age, Smoking, Alcohol use","Obesity, Smoking, Alcohol use",Irregular sleep,High stress,Low,Family history of sleep disorders,"Low-fat, High-protein diet",None,"Winter, Summer",Adult,Both genders,Requires regular sleep schedule,Avoids alcohol,None,"Ashwagandha, Brahmi","Ashwagandha (5g), Shatavari (5g), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Maintain a regular sleep schedule; practice deep breathing exercises.,"Breathing exercises, Pranayama","CPAP machine, Surgery, Medications","Weight management, Avoid alcohol",Manageable with treatment,"Cardiovascular issues, Daytime fatigue","Maintain weight, Avoid alcohol",Ongoing research on CPAP alternatives
Sleeping Sickness (Trypanosomiasis),स्लीपिंग सickness (ट्राईपॅनोसोमियासिस),स्लीपिंग सिस्टिम (ट्रायपॅनोसोमियासिस),"Fever, fatigue, headache, swollen lymph nodes","Blood tests, Lumbar puncture",Severe,2-3 weeks,"Parasitic infection, Insect bites",Antiparasitic drugs,"Tsetse fly bite, Rural areas","Insect bites, Poor sanitation",Irregular sleep,High stress,Low,No family history,"Hydrating, Low-sugar diet",None,Rainy season,"Adult, Children",Both genders,Avoids insect exposure,Avoids unsanitary areas,None,None,"Neem leaves (5-6), Turmeric (1/2 tsp), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid mosquito bites; focus on immune-boosting foods.,None,"Antitrypanosomal drugs (e.g., Melarsoprol)",Avoid tsetse fly exposure,Treatable with early diagnosis,"Neurological damage, Coma",Seek immediate medical attention,Ongoing research on vaccines and treatments
Sparganosis,स्पार्गनोसिस,स्पार्गनोसिस,"Swelling, pain, ulcers, subcutaneous lumps","Blood tests, Imaging (CT, MRI)",Severe,3-6 months,"Parasitic infection, Raw meat",Antiparasitic drugs,"Ingestion of undercooked meat, Water contamination","Consumption of raw meat, Fish",Irregular sleep,High stress,Low,No family history,"Low-fat, High-protein diet",None,All seasons,Adult,Both genders,Avoids undercooked food,Avoids unclean water,None,None,"Turmeric (1/2 tsp), Garlic (2 cloves), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Ensure good hygiene; avoid undercooked food; stay hydrated.,None,"Surgery, Antiparasitic drugs",Avoid consuming raw meat,Treatable with surgery and medication,"Organ damage, Paralysis","Avoid undercooked meat, take medications",Research on treatment efficacy
Stroke,स्ट्रोक,स्ट्रोक,"Sudden numbness, weakness, confusion, difficulty speaking","CT scan, MRI, Blood tests",Severe,Immediate treatment (acute phase),"High blood pressure, Heart disease","Blood thinners, Surgery","Hypertension, Smoking, Obesity, Age","Hypertension, High cholesterol",Irregular sleep,High stress,Low,Family history of stroke,"Low-sodium, High-fiber diet",None,"Winter, Spring",Adult,Both genders,Requires rehabilitation,Avoids stressors,None,"Brahmi, Ashwagandha","Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Kapha,Monitor blood pressure; focus on a balanced diet and regular exercise.,"Physical therapy, Speech therapy","Clot-busting drugs, Surgery, Rehab",Maintain a healthy lifestyle,Recovery possible with treatment,"Paralysis, Speech issues","Early medical intervention, Rehabilitation",Ongoing research on neuroprotection
